label	x	x	SentenceA	SentenceB
0	x	x	It should be a 3 star hotel The room was generally unclean the walls have stains who knows when was that carpet cleaned the last time the furniture had dust on them but the bed seemed to be clean	generally unclean walls
0	x	x	The room was lovely very clean and modern nice large bed and the nespresso machine was a nice touch too	nice touch bed
0	x	x	Right in the city center Many restaurants are near by the hotel and museums	Many restaurants
1	x	x	Could not fault the hotel It was clean and comfortable and the staff were excellent and so friendly easily one of the best hotels I ve staied in	best hotels
1	x	x	nice breakfast and quick check in out	nice breakfast
0	x	x	Free upgrade to a junior suite friendly helpfully staff perfect location in centre of everything	friendly helpfully staff
0	x	x	Cleaning staff around foyer surly Disappointed to be woken up at 6 30am on week days by construction work on building next door When spoke to staff about it was met with a nonchalant reply Hotel quite expensive too	quite expensive reply
1	x	x	Staff was helpful location to activities was convenient always felt well attended to by staff Convenient breakfast to start my day and handy bar to end my day	Convenient breakfast
0	x	x	Great location next to a tram station Spacious rooms with very nice decor Very clean Try the restaurant s cuisine wonderful	Very clean decor
0	x	x	a good stay since the hotel with in the centre and near to the station Food was really good	with in the centre stay
1	x	x	It s biking distance or tram distance for sure	biking distance
1	x	x	For an executive room it should have been bigger with more comfertable beds and luxiourious bathroom	comfertable beds
0	x	x	Great location and friendly staff The self service bar is good but not enough seating in the bar reception area at peak times	friendly location
0	x	x	Great classy atmosphere in the lobby and cafe Building looks nice Rooms are roomy The place is somewhat close to the central station though not so much to make it really convenient to go up and down there take some 15 minutes out for this especially with luggage The tiny harbour next to the hotel is quite charming	Great classy Building
0	x	x	Great location and area nothing more than a 30 minute walk Canal stop outside the hotel Comfortable bed	Great area
1	x	x	Excellent hotel great place for stay lots of ammenities and the staff is nice wold recommend it to anyone traveling to Amsterdam for a great stay close to transportation to connect to all attractions and interesting places in Amsterdam	lots of ammenities
1	x	x	The room was very comfortable and staff were very helpful and friendly	very helpful staff
0	x	x	This was without a doubt the best hotel we have stayed in we came for our anniversary and the staff really made it special the room was decorated nicely and was really for our arrival About 6 hours early everyone was really lovely and helpful	best room
0	x	x	Excellent all round Especially the upgrade on arrival	Excellent upgrade on arrival
1	x	x	The location was perfect and despite the close vicinity to the airport and motorway silent	silent motorway
1	x	x	Very nice hotel perfectly located	Very nice hotel
0	x	x	Very helpful and friendly staff Rooms were very clean comfortable quite big for Amsterdam Location is within walking distance to a train and metro station	friendly Rooms
1	x	x	The staff here were really rude and not helpful We had a few issues and they did not apologise or even check everything was ok after I would never stay here again and would not recommend this hotel	really rude staff
1	x	x	Hotel design was modern and contemporary Staff extremely helpful with recomendations for food and drinks outside of the hotel Bar staff polite attentive and cocktails amazing	amazing cocktails
1	x	x	Totally renovated hotel Staff friendly and helpful Attractive well designed room with small balcony 201 Comfortable bed Excellent location	friendly Staff
0	x	x	Good breakfast Clean rooms Nice staffs	Nice rooms
1	x	x	Friendly helpful staff Modern hotel with good facilities Good tram and rail connections into city	helpful staff
1	x	x	The location is perfect for exploring the city centre museums etc You can pick up a canal boat tour right outside the hotel and the public bus from the airport stops only few minutes walk away The staff irrespective of their role in the hotel made an effort to have a conversation with us e g one of the cleaning staff who was in the lift with us seemed genuinely interested in whether we had enjoyed our day	irrespective staff
1	x	x	Perfect location Helpful sfaff	Perfect location
0	x	x	Great classy atmosphere in the lobby and cafe Building looks nice Rooms are roomy The place is somewhat close to the central station though not so much to make it really convenient to go up and down there take some 15 minutes out for this especially with luggage The tiny harbour next to the hotel is quite charming	looks nice atmosphere
0	x	x	Great hotel great staff great bar close to public transport	great staff
1	x	x	Great service at reception and floor 17 and breakfast was lovely	Great service
1	x	x	Rooms very comfortable facilities really good	really good facilities
1	x	x	The bedroom was spacious with everything in perfect working order I couldn t fault this hotel in any way	spacious bedroom
1	x	x	Nice location close to public transport easy to get around Lovely bar and restsurant	close to public transport
0	x	x	Fantastic location in the centre of Amsterdam the hotel lived up to its reputation as did the staff nothing was too much trouble	lived up to its reputation location in the centre of Amsterdam
0	x	x	great comfortable bed good breakfast plenty of public transport options nearby	plenty of breakfast
1	x	x	The room we stayed in was quite loud during the night and early morning We were located in the basement on the road which was quite noisy	quite noisy road
1	x	x	The beds were a little small and very low	a little small beds
1	x	x	Upgrade offered for 5 nice room on the back of the hotel canal side quick check in room has an extra corridor Good value for money	Good value for money
0	x	x	Not too far out of town great facilities and comfort	great town
1	x	x	The minibar items were overpriced Lots of noise were coming from other rooms most of the reception staffs were very reserved and not genuinely friendly specially	overpriced minibar items
0	x	x	Brilliant location with well appointed and comfortable rooms Friendly and helpful team and wonderful breakfast the on tap drinks and snacks are a real bonus too	wonderful snacks
0	x	x	Small room sloped roof light shining in poor blind and curtains Carpet pretty stained and just seems tired	sloped room
1	x	x	Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area	Great location
0	x	x	Handy location Check in and check out was quick and easy Room was comfortable and clean	quick location
1	x	x	Stayed twice within a week check in painfully slow on both occasions Probably spent a total of half an hour waiting and there weren t big queues Plenty of positions just not enough staff	painfully slow check in
0	x	x	Nice Hotel with beautiful view Big Room upgraded to suite Quiet and relaxing	beautiful Hotel
0	x	x	Excellent location superior hotel with friendly and helpful staff Room was spacious and comfortable with the added bonus of a balcony Food excellent especially the breakfast	friendly hotel
1	x	x	Clean and big rooms helping staff very good breakfast Very convenient ride to to city center with the tram	big rooms
0	x	x	It was perfectly clean and staff were always cleaning The cost of a glass of wine in the bar was a little high but not too much	perfectly clean staff
1	x	x	Staff at hotel were very helpful and friendly Always available with suggestions to improve trip to Amsterdam as well as recommendations to other locations I will return to this hotel in the future	Always available suggestions
0	x	x	Totally renovated hotel Staff friendly and helpful Attractive well designed room with small balcony 201 Comfortable bed Excellent location	small room
1	x	x	The hotel is amazing	amazing hotel
0	x	x	Wonderful staff great location very clean very nice amenities soap shampoo etc	very clean very nice location
1	x	x	Friendly Staff Excellent service during breakfast from a lady by the name of Chiara outstanding	Excellent service
1	x	x	The staff are so friendly and accommodating great location and beds were comfy	great location
1	x	x	Breakfasts though as per all hotel breakfasts expensive Breakfast room with roof that opens Location in a quiet area of town but close to centre and attractions All staff spoke perfect English Clean comfortable air conditioned room reasonable rate	spoke perfect English staff
1	x	x	Excellent location superior hotel with friendly and helpful staff Room was spacious and comfortable with the added bonus of a balcony Food excellent especially the breakfast	helpful staff
1	x	x	Clean friendly hotel	friendly hotel
1	x	x	Room is too small	too small Room
1	x	x	Very clean spacious room Excellent facilities staffs were very kind and helpful The hotel is close to zuid station Silent environment	close to hotel
1	x	x	The location is perfect with easy access to all points of interest in Amsterdam	perfect location
1	x	x	the hotel is refined very chic very well decorated a warm atmosphere at the lobby Location is excellent beautiful neighborhood would recommend the tour by the hotels beautiful boat the personnel was attentive great experience	attentive personnel
1	x	x	Beautiful Building and and ambience The suite was well equipped and comfortable	Beautiful ambience
1	x	x	It was perfectly clean and staff were always cleaning The cost of a glass of wine in the bar was a little high but not too much	always cleaning staff
0	x	x	Superb hotel this was our second time staying in this hotel we turned up early for our check in and because of this they upgraded us to the junior suite free of charge Brilliant service	Brilliant hotel
0	x	x	Comfy bed spacious room slippers and robes in the room good wifi	good room
1	x	x	Smaller room size no other in house facilities like kettle and so on	Smaller room
0	x	x	Room s are spacious well equipped comfortable lots of storage space clean Facilities are excellent the connecting mall with a grocery choices of restaurants is also	lots of Facilities
0	x	x	A very easy stroll from the train station or you can catch the tram 2 minute ride the hotel and staff are terrific beakfast 5 star	2 minute ride staff
1	x	x	The cleaning team was really good	really good cleaning team
0	x	x	The modern decor and overall relaxed atmosphere amidst its rustic setting made us feel right at home	relaxed decor
1	x	x	the rooms were tiny and were stepping on each other all the time the sink was also blocked which was nasty	tiny rooms
0	x	x	Very helpful and friendly staff Rooms were very clean comfortable quite big for Amsterdam Location is within walking distance to a train and metro station	big Location
0	x	x	No bath in bathroom no water provided mini bar not stocked limited non existant room service menu over emphasis on design no substance eg Shower door does not fit so bathroom area floods if not careful poor power point location and no international plug point option so remember to bring your adaptor if staying here Limited storage space so if staying more than one night be prepared for a messy room Better value elsewhere in town	does not fit bathroom area
1	x	x	The Staff Very rude and do not have good customer services although the cleaners are friendly	Very rude Staff
1	x	x	It was a very quirky hotel with very friendly staff The staff was extremely helpful especially Rachel and they provided great customer service	great customer service
1	x	x	The coolest accomodation ever Staff were so friendly interier is so cool and funky rooms were beautiful lots of things to do to interact with other travellers pool gym table tennis photo bool heaps of lounges and a yummy restaurant Also lots of things to do from the hotel such as rent bikes etc 2 mins walk from train station which is 2 stops away from Red Light District supermarket across the road and surrounded by awesome eateries will definitely be back Thanks for such an amazing stay	yummy restaurant
1	x	x	The bed was the most comfortable I have ever slept in in an hotel and the pillows were terrific The location is great quiet but with all main attractions no more than 2 miles away and for non walkers there is a good tram service Good eateries locally esp liked Vasso Italian restaurant and O Reilly s Irish pub for the best triple cooked chips anywhere	good tram service
1	x	x	The eco friendly bathroom if the timer for the sensor lights can be extended to run for maybe at least 15 minutes before they switch off automatically it would be perfect Not all rooms come with the eco friendly bathroom though only a few do The upside though is that this bathroom is more spacious compared to the one in another room we booked we booked the same type of room	more spacious bathroom
0	x	x	The room was very spacious modern with an incredible view of the canals Thank you Martin and Luxury Suites for an unforgettable Honeymoon experience	unforgettable view of the canals
0	x	x	Free mini bar good location easy access to trams and close to bars and restaurants great shower and super friendly receptionist	good mini bar
1	x	x	Staff where very helpful room was comfortable and clean lovely comfy bed and shower was great although its said it was a little out	comfortable room
1	x	x	Staff were very friendly and helpful and beds were very comfy	very comfy beds
1	x	x	Clean rooms modern hotel well located super helpful staff Nice Gym with excellent breakfast options	super helpful staff
1	x	x	No shops nearby to buy things The location is my main concern then the building is outdated The curtain is turn and patched The bath is blocked	blocked bath
1	x	x	It was like the luxurious version of A Little Princess attic The sink was inside the room I could barely walk between the window and the bed the wardrobe didn t even have drawers the mini bar didn t even have snacks I didn t even know where to put my suitcase The bathroom didn t have heating which was ok because it wasn t too cold outside	didn t even have snacks mini bar
1	x	x	The staff was cool helpful The rooms and the common areas were all very Instagram worthy The metro and the tram were only two minute away and it felt really safe to ride the metro even during the evening We re coming back	cool staff
1	x	x	Hotel atmosphere was great Nice and clean rooms Staff were perfect	clean rooms
1	x	x	The location was lovely the room was wonderful the bed was super comfy the all inclusive portion was well worth it breakfast cheese wine open bar	super comfy bed
0	x	x	Lovely views over the water Very helpful reception staff	Very helpful views
1	x	x	The bed was very comfortable	very comfortable bed
1	x	x	Totally renovated hotel Staff friendly and helpful Attractive well designed room with small balcony 201 Comfortable bed Excellent location	renovated hotel
1	x	x	The staff is most friendly and international helpful in many languages and familiar with the surroundings They always greet you with coockies and smiles The rooms are large and comfy The overall design is creative and the location is perfect outside the center and yet accessible by the near metro station and next to a lovely park	large rooms
1	x	x	It s not near to bus stops or metro stations	not near metro stations
0	x	x	Small room sloped roof light shining in poor blind and curtains Carpet pretty stained and just seems tired	pretty stained and just seems tired blind and curtains
1	x	x	Overall the hotel is excellent and the dining options are amazing	amazing hotel
1	x	x	Having said that the normal bathroom is still spacious P s	spacious normal bathroom
1	x	x	room was generous by Amsterdam standards and dark and meal downstairs was good babycot was good quality with comfy mattress instead of the usual travel cot so toddler slept well before the long haul flight home	good meal
0	x	x	Stayed twice within a week check in painfully slow on both occasions Probably spent a total of half an hour waiting and there weren t big queues Plenty of positions just not enough staff	weren t big waiting
0	x	x	The room is exactly what a business traveller needs has a good desk and chair and a socket for all things that need charging The staff at the reception was friendly and attentive to all my needs When I asked for a late check out they immediately gave me until 4:00 PM without extra charge	good staff
1	x	x	Small room sloped roof light shining in poor blind and curtains Carpet pretty stained and just seems tired	poor blind and curtains
0	x	x	I like the hotel Breakfast was excellent	excellent hotel
0	x	x	Very Good and value for money Market is very near by	Very Good value for money
1	x	x	The staff were the friendliest staff I have ever encountered So nice and definitely the hotels best point	friendliest staff
1	x	x	very good breakfast and extra comfort bed very comfortable bathroom and spacious shower stall great shower fittings	spacious shower
1	x	x	Beautiful room excellent facilities friendly staff	excellent facilities
0	x	x	Location breakfast free wifi and most comfortable bed ever Coffee in the living room is amazing	amazing bed
1	x	x	Great hotel friendly staff and good location	Great hotel
0	x	x	Excellent hotel great place for stay lots of ammenities and the staff is nice wold recommend it to anyone traveling to Amsterdam for a great stay close to transportation to connect to all attractions and interesting places in Amsterdam	lots of staff
0	x	x	Breakfasts though as per all hotel breakfasts expensive Breakfast room with roof that opens Location in a quiet area of town but close to centre and attractions All staff spoke perfect English Clean comfortable air conditioned room reasonable rate	close to centre and attractions staff
1	x	x	The front desk staff were very hospitable and helpful The dinner in the hotel was pretty good	pretty good dinner
1	x	x	Good location but	Good location
1	x	x	The staff was very friendly	very friendly staff
1	x	x	It was a nice touch that you are given complimentary water beer and pop in the fridge	complimentary pop
1	x	x	The location is just perfect you have plenty of cool restaurants around shopping street is just next corner museums also really nearby	just perfect location
1	x	x	My room was with balcony and garden view	with balcony and garden view room
1	x	x	Great location staff could look a little happier but otherwise lovely clean hotel and beautiful well equipped rooms Would stay again	Great location
1	x	x	Upgrade offered for 5 nice room on the back of the hotel canal side quick check in room has an extra corridor Good value for money	an extra corridor room
1	x	x	Dirty room dust around bed dirty carpet and destroyed floor Shower head with very poor water pressure	very poor water pressure
1	x	x	The room is exactly what a business traveller needs has a good desk and chair and a socket for all things that need charging The staff at the reception was friendly and attentive to all my needs When I asked for a late check out they immediately gave me until 4:00 PM without extra charge	good desk
0	x	x	Beautiful rooms extremely comfortable beds and you even have the option to ask for a specific type of pillow The reception staff as well as the concierge were extremely helpful and friendly	extremely comfortable rooms
1	x	x	Decent room and good confortable bed Location is very good not too central not too far away from the most busy streets	very good Location
0	x	x	there was nothing around the hotel no bars shops walks it was surrounded by a building site It was a trek on the trams to get to and from but the trams were plentiful a shuttle bus would be a good idea the food in the restaurant was very limited and not very good which was a problem because there is no where else to go	very limited shuttle bus
0	x	x	Excellent location friendly smart hotelpersonell great restaurant and super neat rooms	super neat restaurant
1	x	x	Had two single beds instead of 1 double bed the hairdryer was awful and the room seemed very out of date also the lift wasn t working so well	wasn t working so well lift
1	x	x	Cozy restaurant excellent breakfast	excellent breakfast
0	x	x	New and modern hotel Very nice and big rooms Also was clean 10 mins driving from the airport	big rooms
0	x	x	Totally renovated hotel Staff friendly and helpful Attractive well designed room with small balcony 201 Comfortable bed Excellent location	renovated Staff
1	x	x	Great location friendly and helpful staff Excellent breakfast Staff noticed that it was my wife s birthday from the registration form and took the time to leave birthday greetings in the room together with a gift of some Dutch biscuits	Excellent breakfast
1	x	x	Very clean Very spacious Quality bed Quality toiletries	Quality bed
0	x	x	the hotel is refined very chic very well decorated a warm atmosphere at the lobby Location is excellent beautiful neighborhood would recommend the tour by the hotels beautiful boat the personnel was attentive great experience	excellent atmosphere
0	x	x	Friendly staff comfortable bed great location in the middle of the Dam good room service they make you feel very welcome with friendly messages chocolates on the bed and a pillow menu	great bed
1	x	x	There is a free shuttle to the central train station which is 5 min walking away	free shuttle to the central train station
1	x	x	The location was perfect the staff was amazing the room was fantastic	fantastic room
0	x	x	Poor facilities bathroom was a mess cracked tiles dirty marks in bath housekeeping not to a high standard sheets didn t get changed	mess facilities
1	x	x	The staff was great good location	good location
1	x	x	Friendly staff comfortable bed great location in the middle of the Dam good room service they make you feel very welcome with friendly messages chocolates on the bed and a pillow menu	Friendly staff
1	x	x	R epitome staff extremely pleasant and helpful	extremely pleasant staff
0	x	x	The evening meal was excellent A pity the club sandwiches at lunch were awful	excellent club sandwiches
1	x	x	The hotel is central to many of the major tourist sites in Amsterdam Flower Market was literally round the corner and there are two areas were one is able to commence a river cruise within a couple of minutes walk of the hotel Many restaurants and bars nearby in Rembrandt Square	central hotel
0	x	x	Excellent hotel great place for stay lots of ammenities and the staff is nice wold recommend it to anyone traveling to Amsterdam for a great stay close to transportation to connect to all attractions and interesting places in Amsterdam	great hotel
1	x	x	The location was perfect and despite the close vicinity to the airport and motorway silent	close vicinity to the airport
0	x	x	The bed was the most comfortable I have ever slept in in an hotel and the pillows were terrific The location is great quiet but with all main attractions no more than 2 miles away and for non walkers there is a good tram service Good eateries locally esp liked Vasso Italian restaurant and O Reilly s Irish pub for the best triple cooked chips anywhere	Good tram service
1	x	x	A warm welcome very comfortable room great location delicious breakfast	very comfortable room
0	x	x	The hotel needs a major renovation carpets are dirty rooms smell bathroom stinks furniture is beyond old and sad staircase inconvenient overall gloom Will not return ever	smell bathroom
1	x	x	Lovely staff very helpful	very helpful Lovely staff
1	x	x	The room was beautiful Location was very close to the places we wanted to see The staff were so lovely	so lovely staff
1	x	x	Great View and Lacation	Great View
1	x	x	The air conditioning was not cooling enough and when we complained we were provided with a small table fan As they were unable to lower the temperature below 25deg C	not cooling enough air conditioning
1	x	x	Great location friendly and helpful staff Excellent breakfast Staff noticed that it was my wife s birthday from the registration form and took the time to leave birthday greetings in the room together with a gift of some Dutch biscuits	helpful staff
1	x	x	Totally renovated hotel Staff friendly and helpful Attractive well designed room with small balcony 201 Comfortable bed Excellent location	well designed room
1	x	x	Super friendly stuff great location clean room	Super friendly stuff
1	x	x	a good stay since the hotel with in the centre and near to the station Food was really good	good Food
1	x	x	The hotel is central to many of the major tourist sites in Amsterdam Flower Market was literally round the corner and there are two areas were one is able to commence a river cruise within a couple of minutes walk of the hotel Many restaurants and bars nearby in Rembrandt Square	Many restaurants
1	x	x	Toilet bowls were not cleaned	not cleaned Toilet bowls
1	x	x	so convenient Breakfast is a relaxed uncomplicated experience waiters don t hover around eyeing you to make sure you re even allowed to have breakfast Also the pantry is such a nice touch Loved this hotel	nice touch
1	x	x	The directions for taking public transportation was very clear We were able to get to places like the Anne Frank House Dam Square Pancake House	able to get to places
1	x	x	Even the smoking area for cigarette is peaceful and well designed Nothing has been left out here I would advise booking this place on a deal as it s worth the money	peaceful smoking area
1	x	x	Good location nice service	Good location
0	x	x	The staff is most friendly and international helpful in many languages and familiar with the surroundings They always greet you with coockies and smiles The rooms are large and comfy The overall design is creative and the location is perfect outside the center and yet accessible by the near metro station and next to a lovely park	comfy overall design
0	x	x	Excellent hotel Bed we so comfortable Location great And very clean and friendly	Excellent Bed
0	x	x	Hotel atmosphere was great Nice and clean rooms Staff were perfect	perfect rooms
0	x	x	Hotel is in need of redecoration and some areas look very old Room service is ok but one day after calling to the reception and asking to clean up the room I was surprised to return to the dirty room and cleaning stuff was unavailable so together with a receptionist I was forced to change my linen myself	ok cleaning stuff
1	x	x	The beds were super comfy the curtains and door opened by a cool button and the bathroom was amazing and hotel staff were super helpful	amazing bathroom
1	x	x	The staff was cool helpful The rooms and the common areas were all very Instagram worthy The metro and the tram were only two minute away and it felt really safe to ride the metro even during the evening We re coming back	very Instagram worthy common areas
1	x	x	Small room sloped roof light shining in poor blind and curtains Carpet pretty stained and just seems tired	sloped roof light shining
1	x	x	I like the hotel Breakfast was excellent	like hotel
1	x	x	The Ambassade Hotel is located in one of the loveliest parts of the city the 17th century canal ring	loveliest parts of the city
0	x	x	Poor facilities bathroom was a mess cracked tiles dirty marks in bath housekeeping not to a high standard sheets didn t get changed	dirty housekeeping
1	x	x	Excellent location if arriving from the ferry or by train and just a short walk to all Centrum tourist spots	short walk to all Centrum tourist spots
0	x	x	Expensive breakfast not so near from central part just 10 min walking from nearest metro station but very expensive if you take a taxi it s far from all the stuff I wanted to do	very expensive nearest metro station
1	x	x	Restaurant dinner service is very poor	very poor Restaurant dinner service
1	x	x	a good stay since the hotel with in the centre and near to the station Food was really good	good stay
1	x	x	Friendly helpful staff Modern hotel with good facilities Good tram and rail connections into city	Modern hotel
0	x	x	Hotel was fabulous got upgraded at no extra cost spotless clean staff very helpful and in a great location	spotless clean staff
1	x	x	Building seemed to me very old also i did not appreciate the 2 elevator that i have to change to reach to my room it was very strange	very old Building
1	x	x	The evening meal was excellent A pity the club sandwiches at lunch were awful	awful club sandwiches
1	x	x	The staff were extremely helpful when printing boarding passes and booking trips for the city Also very clean and everything we needed was there overall an excellent stay	excellent stay
1	x	x	Everything This place was mind blowing Such a beautiful hotel with amazing rooms	amazing rooms
1	x	x	it s superb the ferry runs every few minutes it s just outside central station and the otherside it s a 1 min walk to the hotel This location gets you out of all the mayhem with a simply brilliant view of the river and we sat and people watched The Sir Adam is a vibrant but modern and excellent place to unwind after a day of sight	superb ferry
1	x	x	The rooms are big with modern design	big rooms
1	x	x	Great location and friendly staff The self service bar is good but not enough seating in the bar reception area at peak times	not enough seating
0	x	x	Perfect atmosphere location in Amsterdam very cozy and comfortable rooms meal and service were great staff were very kind and cheerful the price was fair compared to the equivalent hotels around	comfortable meal
1	x	x	Great location within walking distance to all Amsterdam has to offer Hotel room has AC	Great location
0	x	x	Location of hotel was just outside city but with excellent views of Amsterdam Tram to the city was outside the door and was a 10 minute trip	outside the door views of Amsterdam
1	x	x	Food excellent and surrounding architecture both contemporary and traditional	contemporary surrounding architecture
1	x	x	Rooms are clean Breakfast is OK	clean Rooms
1	x	x	Staff where extremely helpful hotel was very warming and modern Location was absolutely superb Beautifully clean air con in room was brilliant all round superb hotel	modern Location
0	x	x	Free mini bar good location easy access to trams and close to bars and restaurants great shower and super friendly receptionist	close access to trams
0	x	x	extremly tired Next day moved to a better room which firs our reservation but we were not able to sleep because of the ventillator in the bathroom	not able to Next day
1	x	x	GREAT Location Near everything in particular museums	GREAT Location
0	x	x	It is in a very nice suburb and close to restaurants some shops and a nice little market Since it was in the burbs it was very quiet	nice burbs
1	x	x	I like the hotel Breakfast was excellent	excellent Breakfast
0	x	x	Friendly staff complimentary drinks and snacks comfy beds quiet room	quiet beds
1	x	x	food was excellent	excellent food
1	x	x	the location was nice rooms clean and well presented friendly staff	nice location
1	x	x	The room was beautiful Location was very close to the places we wanted to see The staff were so lovely	beautiful room
1	x	x	The beds were comfortable to lay on bur no to sleep as I woke up with a bad back and crooked neckhart the room service staff were fantastic	fantastic room service staff
1	x	x	A very easy stroll from the train station or you can catch the tram 2 minute ride the hotel and staff are terrific beakfast 5 star	very easy stroll
0	x	x	The eco friendly bathroom if the timer for the sensor lights can be extended to run for maybe at least 15 minutes before they switch off automatically it would be perfect Not all rooms come with the eco friendly bathroom though only a few do The upside though is that this bathroom is more spacious compared to the one in another room we booked we booked the same type of room	more spacious bathroom
1	x	x	Nice quiet area our room had a big terrace	big terrace room
0	x	x	There was building work outside on the second night that we were not warned of and it would have been nice to have been made aware that sleep was not possible after 5:00 AM Breakfast was average for this level of hotel	average outside
1	x	x	The bed was the most comfortable I have ever slept in in an hotel and the pillows were terrific The location is great quiet but with all main attractions no more than 2 miles away and for non walkers there is a good tram service Good eateries locally esp liked Vasso Italian restaurant and O Reilly s Irish pub for the best triple cooked chips anywhere	no more than 2 miles away main attractions
1	x	x	The beds were super comfy the curtains and door opened by a cool button and the bathroom was amazing and hotel staff were super helpful	super comfy beds
0	x	x	I don t mean a design hotel which is all design and no hotel of which Amsterdam has many The staff are friendly efficient knowledgeable and make everything run smoothly As a business traveller this is what I want and this is what NH provides	design staff
1	x	x	The staff was wonderful helpful and friendly Location is great	wonderful staff
0	x	x	Loved the atmosphere of this place Very close to the metro which can take you to the city centre in a few mins Staff at this hotel are amazing and very helpful You can hire a bike from the hotel for 9 euros Checkout procedure was one of the best I ve ever seen at the hotel where you just have to drop it off in a box Supermarket just opposite and so many restaurants at walking distance	Very close to Staff
1	x	x	Nice hotel great restaurant recommend the pizzas	recommend pizzas
1	x	x	A very easy stroll from the train station or you can catch the tram 2 minute ride the hotel and staff are terrific beakfast 5 star	terrific hotel
1	x	x	There should be a mirror in the room by the desk and the light was very dull	very dull light
0	x	x	Expensive breakfast lack of variety of available food on site	lack of variety breakfast
0	x	x	The breakfast in the morning was really excellent and the staff were so efficient and friendly Everything we needed in a room was there good amenities good housekeeping The front desk personnel were also great	really excellent staff
1	x	x	Location was perfect Most things were within walking distance Central train station was only 20mins on foot	perfect Location
0	x	x	Nice hotel great restaurant recommend the pizzas	great hotel
1	x	x	Good breakfast extra charge unfortunately	Good breakfast
1	x	x	Decent room and good confortable bed Location is very good not too central not too far away from the most busy streets	not too far away most busy streets
0	x	x	Great service at reception and floor 17 and breakfast was lovely	lovely service
1	x	x	New and modern hotel Very nice and big rooms Also was clean 10 mins driving from the airport	Very nice hotel
1	x	x	The staff at the reception was really nice trying to help with everything	really nice staff at the reception
0	x	x	Close proximity and easy tram use Cleanliness and happiness of staff	easy proximity
1	x	x	They are very close to the Concertgebouw which was our purpose for staying there	very close Concertgebouw
1	x	x	Poor facilities bathroom was a mess cracked tiles dirty marks in bath housekeeping not to a high standard sheets didn t get changed	didn t get changed sheets
1	x	x	I didn t like that the location was a bit far out than I thought it would be	a bit far out location
1	x	x	Good reasonable priced restaurants close by Shuttle service to airport at reasonable price is handy and efficient Good quality accomodation huge king size bed and good size rooms	good size rooms
1	x	x	Quite expensive price per night as well as the breakfast Very loud in the corridors because of cleaning service and propably other guests since early morning Walls seems to be made of paper	Very loud corridors
1	x	x	the bed wasn t very comfortable	wasn t very comfortable bed
0	x	x	Nice breakfast great location for museums Leidseplein	Nice breakfast
1	x	x	The bed was the most comfortable hotel bed we have ever slept in It was large soft and the pillows were lofty	lofty pillows
0	x	x	Spent there 2 nights fast and warm check in Was very supportive and explained to us were and how to go to areas to visit Charged Car park is available Smoking room also available Nice view from the rooms and all facilities available Room size is small but it is ok Tram is few minutes from the hotel Also easy to walk to the DAM square where you can see many shops and restaurants on the way	available Smoking room
1	x	x	The room was made up each morning and we were visited at about 6 each evening to check to see if we needed any extra towels etc which was a nice touch	made up room
